Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence
Contract basics,Agreement / Contract Data,"Project is the Big Project civil works between Roya as Employer and Samco as Contractor, effective 30-Apr-2025.","All later letters should be read against this baseline: parties, project, price, time, and risk allocation are fixed from this date.",Neutral,Use exact contract references in all notices.,Defines the starting commercial baseline.,Defines the baseline programme period.,"Keep contract date, parties, amount, and commencement records in every claim file."
Accepted Contract Amount,Agreement / Appendix,"Contract amount is EGP 367,286,025 including social insurance, duties, and taxes except VAT.",The price is intended to be comprehensive. The Contractor must prove why any extra is outside the agreed scope or qualifies under variation/adjustment clauses.,Employer,Any extra must follow Variation or Claim procedure.,High barrier to extra payment unless clear instruction/change exists.,No direct time right unless linked to variation or delay event.,"For each extra cost, attach instruction, BOQ gap analysis, and timely notice."
Re-measured contract,Agreement / Appendix,Contract is on a re-measured basis and payment is based on actual executed quantities.,"Quantities can increase or decrease, but rates and risk wording still matter. More quantity is not automatically a new scope claim.",Shared,Measurement records must be timely and supported.,"Payment follows measured work, not tender BOQ quantity warranty.",Quantity change may affect time only if it impacts critical path and is claimed.,"Keep survey sheets, IR approvals, measurement sheets, and BOQ mapping."
BOQ quantity no warranty,Agreement,Employer gives no warranty that BOQ quantities are accurate.,"The Contractor cannot rely only on tender quantities to claim surprise. The claim must be tied to changed scope, instruction, or unforeseeable condition.",Employer,Claim notice still required if quantity change delays or costs more than normal remeasurement.,Limits quantity-based claims.,Possible only if actual quantity change affects critical path and is properly proved.,"Compare tender BOQ, IFC drawings, actual measurements, and programme impact."
Fixed and final price wording,Appendix,"Accepted amount is fixed and final, inclusive of compensation, contingencies, future law, fuel, and currency changes except specified material adjustment.",This is a strong anti-claim clause. Most market escalation arguments are blocked unless they fit the concrete/steel adjustment formula.,Employer,Use price adjustment clause only where allowed.,Reduces escalation and hardship claims.,No direct EOT from price movement.,Separate allowed concrete/steel adjustment from general inflation claims.
Concrete and steel price adjustment,Appendix,Concrete and steel may be adjusted using CAPMAS indices if delay is not due to Contractor.,"Price adjustment is conditional. If Employer/Engineer says the Contractor caused the delay, the adjustment may be rejected.",Shared,Need proof delay was not Contractor-caused.,Potential recovery for concrete/steel escalation only.,Depends on non-contractor delay period and affected procurement.,"Prepare CAPMAS index comparison, baseline prices, procurement dates, and delay responsibility analysis."
Exclusions from contract amount,Appendix,"Employer/Engineer site mobilization, authority permits/licenses, relocation/protection of utilities, and dewatering are excluded.","These are possible entitlement areas, but only if actually instructed or required and not already covered elsewhere.",Contractor if documented,Variation/claim notice required before or immediately after impact.,Potential additional payment if outside scope and instructed/required.,Potential EOT if critical and not Contractor fault.,"Record instruction, site condition, authority requirement, photographs, and cost/time impact."
Advance payment structure,Appendix / Clause 14.2,Advance payment is 25 percent; 30 percent cash against bank check and 70 percent as steel supplied by Employer according to approved programme.,Steel supply is commercially tied to the advance. But entitlement depends on approved programme and proper requisitions.,Shared,Steel delay notices should be immediate and linked to approved programme dates.,Employer-supplied steel affects advance/payment accounting.,Late steel may support delay only if critical and properly requested.,"Keep approved programme, steel requisitions, delivery notes, and impact analysis."
Monthly statements and material on site,Clause 14.3 / 14.5,Monthly statements include executed work and 70 percent of approved delivered materials/plants.,"Materials can improve cash flow, but only if approved, delivered, insured, and documented as required.",Shared,Submit complete monthly statement with supporting records.,Incomplete support delays payment certification.,"Indirect risk if cash flow affects progress, but not automatic EOT.","Attach delivery notes, approvals, photos, ownership/insurance records, and BOQ allocation."
Minimum IPC threshold,Appendix,Minimum IPC amount is 70 percent of monthly cash flow.,Small or weak IPCs can be administratively rejected or deferred. Payment entitlement is linked to monthly cash flow planning.,Employer,Monthly IPC must meet threshold and be complete.,Can delay cash collection if IPC below threshold.,Indirect cash-flow pressure; not itself an EOT event.,Align monthly valuation with approved cash flow and explain any shortfall.
Payment period,Clause 14.7,Employer pays amounts due within 45 days after Engineer receives a complete statement and supporting documents.,"The 45 days likely starts only after a compliant submission, not after an incomplete invoice.",Employer until submission complete,Late payment arguments need proof of complete submission date.,Interest or delayed payment arguments depend on compliance.,Suspension rights require strict clause compliance.,"Keep transmittal, Engineer receipt date, checklist of supporting documents, and payment certificate."
Social insurance condition,Agreement / Payment terms,Proof of social insurance payment is required before subsequent IPC release.,Even technically valid work may be held up if social insurance evidence is missing.,Employer,Submit before each affected IPC cycle.,Payment can be delayed despite completed work.,Indirect cash flow risk only.,"Keep receipts, certificates, and IPC checklist."
Retention,Appendix / Clause 14,Retention is 5 percent; first half released at Taking-Over Certificate and second half after Defects Notification Period.,"Cash is locked until formal completion milestones, not just physical progress.",Employer,Taking-over and defect records must be clean.,Cash retention affects final recovery.,Open defects delay release.,"Track TOC requirements, snag/NCR closure, and DNP expiry."
Performance security,Appendix / Clause 4.2,Performance security is 5 percent of Accepted Contract Amount.,"Security gives Employer leverage if termination, default, or recovery of damages becomes serious.",Employer,Maintain valid security until required release.,Potential call/deduction risk.,"No direct schedule effect, but default pressure is high.","Track validity, expiry, amendments, and Employer notices."
Time for Completion,Appendix / Clause 8.2,Time for Completion is 19 months from Commencement Date.,All delay analysis should measure impact against this contractual completion window.,Employer unless EOT proved,EOT claim required for any excusable delay.,Delay damages risk after expiry without EOT.,Critical path must be shown against 19-month baseline.,Maintain approved baseline programme and monthly updates.
8-month structural milestone,Appendix,Ground floor ceiling slab completion is required within 8 months from Commencement and is not a Taking-Over section.,This is a milestone obligation but does not give partial taking-over protection. Delay can still be used as performance evidence.,Employer,Notify delay to milestone if affected.,Potential damages/pressure depending on contract use.,High control milestone for early works.,"Track milestone logic, progress photos, inspections, and causes of delay."
Delay damages,Appendix / Clause 8.7,"Delay damages are 1 percent of outstanding works per week or part week, capped at 10 percent of Contract Price.",Even part of a week counts. Employer can use this as strong pressure once completion is late without EOT.,Employer,EOT must be claimed before delay damages crystallize.,"High exposure, capped at 10 percent.",Critical if no approved EOT.,Update EOT register and forecast exposure weekly.
Normal working hours,Appendix / Clause 6.5,Normal hours are 6 days per week and 8 hours per day.,Acceleration beyond normal hours may not be paid unless instructed or caused by an Employer-risk event and properly claimed.,Employer,Acceleration claim needs instruction or recoverable delay event.,Overtime often Contractor cost unless entitlement proved.,Recovery plans may require more resources without extra payment if Contractor delay.,"Record instructions, productivity assumptions, manpower, and cause of acceleration."
Document priority,Clause 1.5,Contract documents are prioritized by the Agreement sequence.,"If two documents conflict, priority decides. But the Contractor must still flag conflicts before execution.",Shared,Notify ambiguity before starting affected work.,May block extra payment if Contractor proceeds silently.,May block EOT if late clarification caused by Contractor silence.,Maintain discrepancy notices and Engineer responses.
More stringent requirement governs,Clause 1.5,"If Employer considers a more stringent requirement applicable, Contractor must comply.","The stricter interpretation can be imposed first, with entitlement only if Contractor preserves claim rights.",Employer,Notify and claim if stricter requirement changes cost/time.,Potential extra cost only if valid variation/claim survives.,Potential delay only if critical and noticed.,"Issue reservation letter before execution, then submit variation proposal."
Missing or blank BOQ items,Clause 1.5,"Missing, unpriced, or blank BOQ items are deemed included in other BOQ rates/prices.","A BOQ silence is not enough to claim extra. Contractor must show the work is truly outside the Contract, not just missing from a rate.",Employer,Variation notice required for true extra scope.,Strongly limits payment for omitted rate items.,No direct EOT unless scope/instruction affects critical path.,Map work to drawings/specs and explain why it is not implied or included.
Works shown in any document,Clause 1.5,Work shown in any contract document but not another is deemed included in Accepted Contract Amount.,One drawing/specification reference can be enough to make the work included.,Employer,Raise discrepancy before execution.,Extra payment difficult if item appears anywhere in contract docs.,EOT difficult unless delayed instruction/change occurs.,Search all contract documents before asserting missing scope.
Necessary and implied works,Clause 1.5,"Works necessary for stability, completion, safe operation, or proper execution are included even if not expressly detailed.","The contract captures hidden enabling works. Many support, temporary, coordination, and completion items may be treated as included.",Employer,Claim only if beyond normal implied works and instructed/changed.,Limits extras for temporary or enabling items.,May create sequencing burden on Contractor.,"Record why the work is unusual, instructed, or outside normal construction practice."
Discrepancies and ambiguities,Clause 1.5 / 1.8,"Contractor must notify Engineer of ambiguity, discrepancy, or error before starting affected work.","If Contractor builds first and argues later, entitlement becomes weak.",Employer,Notify before work starts.,Late notice can defeat additional cost.,Late notice can defeat delay claim.,Send technical query/RFI with proposed interpretation and reservation of rights.
Contractor documents timing,Clause 1.8,Submittals are due 14 days before construction activity; Engineer review is 10 days; resubmission is 3 days.,The programme must include approval cycles. Late submittals become Contractor delay even if Engineer takes normal review time.,Employer,Late submittal notices weaken claims.,Rework/resubmission cost likely Contractor risk.,Approval delay only claimable beyond contractual review if critical.,Maintain submittal register tied to programme activities.
Delayed drawings or instructions,Clause 1.9,Delay from late drawings/instructions must be claimed under the notice procedure.,"The event may be Employer-risk, but it is not automatically payable or excusable unless notice and particulars are on time.",Shared,"Strict notice required, then particulars and monthly updates.",Potential cost/time only if claim compliant.,Potential EOT if critical path delayed.,"Keep request dates, required-by dates, late response proof, and critical path analysis."
Site access,Clause 2.1,Employer gives site access under contract conditions.,"Access is entitlement-sensitive: if the Contractor cannot work because access is not given, it can be strong, but only with proof of readiness and criticality.",Contractor if ready,Immediate notice if access not available.,Possible cost if proven and not excluded.,Possible EOT if critical access denied.,"Keep handover records, photographs, readiness evidence, and programme logic."
Permits and licenses,Clause 2.2 / Appendix exclusions,"Authority permits/licenses are excluded from Accepted Contract Amount, but responsibilities depend on the specific permit and law.","This is a possible variation/claim zone, but not a blanket excuse for slow authority processing.",Shared,Notify authority delay and cost as soon as known.,Recoverable if Employer-risk or excluded cost instructed/required.,Possible EOT if authority issue blocks critical work and Contractor acted diligently.,"Keep applications, authority receipts, correspondence, and delay chronology."
Engineer authority and determination,Clauses 3.1 / 3.5,Engineer administers instructions and determinations under the Contract.,Engineer decisions are central evidence. Silence or informal site discussion is weaker than written instruction/determination.,Employer/Engineer,Ask for written instruction/determination where impact exists.,Payment depends on formal valuation/determination.,Delay depends on accepted programme impact.,Convert verbal directions into written confirmation immediately.
Contractor general obligations,Clause 4.1,"Contractor must execute, complete, and remedy defects in accordance with the Contract and good practice.","Broad duty means Contractor carries coordination, means, methods, and completion risk unless a clause shifts it.",Employer,Notify only where Employer-risk event prevents performance.,Defects/rework usually Contractor cost.,Contractor-caused delay not excusable.,"Keep method statements, approvals, inspection records, and defect closure evidence."
Design verification and review,Clause 4.1 / General Requirements,Contractor must verify and review design documents as required by the Contract.,Failure to review early can make later design objections look like Contractor delay or late discovery.,Employer,Raise design issues promptly and before affected works.,Late design comments may not justify extra cost.,Late review can delay shop drawings/procurement.,"Maintain design review log, consultant reports, RFIs, and dates."
Cooperation with others,Clause 4.6 / 20.1,Contractor must cooperate with other contractors and anticipate simultaneous work.,"Minor disruption, sequencing changes, and interface inconvenience may already be priced and programmed.",Employer,"Only substantial, critical, Employer-caused interference should be claimed.",Minor interface cost likely unrecoverable.,Minor resequencing likely no EOT.,"Keep interface meeting minutes, obstruction logs, photos, and critical path proof."
Unforeseeable physical conditions,Clause 4.12 / 20.1,Unexpected physical conditions may support entitlement if properly notified and proven.,"Site difficulty alone is not enough. Contractor must show unforeseeability, impact, and compliance with notice rules.",Shared,Immediate notice before disturbing evidence where possible.,Possible cost if conditions qualify.,Possible EOT if critical path affected.,"Preserve photos, survey, test reports, expert opinion, and baseline assumptions."
Utilities and existing services,Clause 4.19 / Appendix exclusions,"Utilities relocation/protection is excluded from price, but Contractor must manage site utilities obligations carefully.","Utility events can be claimable if outside scope, but damage or poor protection can become Contractor liability.",Shared,Notify conflict/damage immediately and follow variation/claim procedure.,Potential extra for instructed protection/relocation; liability if Contractor damages utilities.,Potential EOT if utility issue blocks critical work and not Contractor fault.,"Keep utility drawings, trial pit records, permits, photos, and incident reports."
Employer equipment and free-issue materials,Clause 4.20 / Appendix,"Employer-supplied items, especially steel as part of advance, depend on approved programme and requisition process.","A steel delay claim needs proof that Contractor requested correctly, was ready to use it, and the delay hit critical path.",Shared,"Notice immediately if free issue material is late, defective, or short.",May affect payment/advance and possible prolongation.,Possible EOT if critical and not Contractor-caused.,"Keep approved programme, requisitions, delivery notes, stock records, and activity impacts."
Progress reports,Clause 4.21 / General Requirements,"Daily, weekly, and monthly reports must include progress, delay analysis, programme update, logs, photos, procurement, submittals, quality, and pending issues.","Reports are not paperwork only. They become the project record for delay, payment, and claim proof.",Employer if missing,Monthly claim/variation account must be separate and up to date.,Weak reports weaken IPCs and claims.,Weak reports weaken delay analysis.,"Submit complete reports and reconcile them with notices, programme updates, and IPCs."
Shop drawings and as-builts,Clause 4.25 / General Requirements,"Contractor must submit shop drawings, as-built drawings, and source files where required.","Late or incomplete drawings can stop approvals, inspections, and taking-over.",Employer,Follow submittal timing and resubmission period.,Rework/correction generally Contractor cost.,Can become Contractor delay if on critical path.,"Maintain drawing register, revision history, approvals, and transmittals."
Quality assurance system,Clause 4.26 / General Requirements,"If Contractor fails to submit or obtain approval of QMS, Employer/RFP quality plan may be deemed final.",Contractor loses control over the quality framework if its own plan is late or rejected.,Employer,QMS details due early after commencement.,Noncompliance can lead to rejected work and withheld approvals.,Rejected IRs/NCRs can delay progress and taking-over.,"Submit QMS, QC manager approval, ITPs, NCR logs, and corrective action records."
HSE system,Clause 6.7 / General Requirements,"If Contractor fails to submit or approve HSE plan, Employer/RFP safety plan may govern.",Safety noncompliance can stop work and still remain Contractor risk.,Employer,Submit HSE plan and incident reports on time.,Stop-work or corrective measures may be Contractor cost.,Safety stoppages can delay works without EOT if Contractor fault.,"Keep HSE plan, inductions, toolbox talks, PPE logs, accident reports, and close-outs."
Personnel approval,Clause 6.9,Key Contractor personnel require approval and compliance with contract requirements.,Changing or lacking approved staff can be treated as management noncompliance and used against progress claims.,Employer,Notify changes and obtain approvals.,May affect payment/certification indirectly.,Weak staffing undermines EOT defenses.,"Keep CV approvals, org chart, attendance, and replacement approvals."
Programme requirements,Clause 8.3 / General Requirements,"Programme must be P6, resource/cost/cash loaded, with narratives, long lead items, free issue materials, and other contractors' milestones.","A simple bar chart is not enough. Without a compliant baseline/update, delay claims become much harder to prove.",Employer,Programme submission and monthly update deadlines matter.,"IPC, cash flow, and delay claims depend on programme quality.",Critical path proof depends on accepted logic.,"Keep baseline, updates, narratives, calendars, resources, cash flow, and change logs."
Recovery plan trigger,General Requirements / Clause 8.6,"If delay reaches 10 percent of remaining calendar days or at least 45 days, Contractor must submit recovery plan within 28 days.",The contract creates an early warning and acceleration pressure mechanism before final delay damages.,Employer,Recovery plan due within 28 days after update showing delay.,Recovery may be Contractor cost if delay is Contractor risk.,Failure worsens delay exposure.,"Submit recovery plan with manpower, shifts, resequencing, procurement, and float recovery."
Extension of time,Clause 8.4 / 20.1,EOT is available only for qualifying events and compliant claims.,"Even a real Employer-caused delay can be lost if notice, particulars, monthly updates, or critical path proof are missing.",Shared,Strict claim notice and monthly account requirements.,Prolongation cost depends on entitlement and concurrency rules.,EOT protects against delay damages if proven.,"Maintain delay event register, notices, particulars, updates, and delay analysis."
Rate of progress,Clause 8.6,"If progress is too slow, Contractor may be required to revise methods or accelerate.","If the delay is Contractor-caused, recovery is usually at Contractor cost.",Employer,Respond quickly to slow-progress notices.,Additional resources may not be payable.,Recovery obligations can change sequence and productivity.,Keep productivity records and separate Contractor delay from Employer delay.
Suspension by Employer,Clause 8.11,Engineer/Employer may instruct suspension under contract conditions.,"Suspension can be entitlement-bearing if not Contractor fault, but must be documented precisely.",Shared,Notice/claim immediately after suspension instruction and resumption.,Possible cost if compensable under contract.,Possible EOT if critical path affected.,"Keep suspension instruction, affected resources, idle plant/labour, and restart records."
Tests on completion and failed tests,Clause 9.4,Failure to pass tests can trigger remedial obligations and retesting.,Testing failure usually shifts time/cost risk back to Contractor unless caused by Employer design/instruction.,Employer,Notify cause if failure not Contractor fault.,Retesting/remedial cost likely Contractor risk.,Failed tests delay taking-over.,"Keep test plans, results, calibration, causes, corrective works, and retest approvals."
Taking-over requirements,Clause 10 / General Requirements,"Taking-over requires substantial completion and conditions such as no rejected IRs, no open NCRs, clear site limits, debris removal, and safe access.","Physical completion is not enough. Paperwork, NCRs, housekeeping, and safe access can block TOC and retention release.",Employer,Apply for TOC only with supporting close-out evidence.,Retention release and final payment depend on TOC.,Delay damages risk continues until TOC/completion accepted.,"Prepare TOC dossier, NCR closeout, as-builts, test certificates, and site clearance evidence."
Defects Notification Period,Clause 11,DNP is 365 days and Contractor must remedy defects.,The project is not commercially finished at TOC. Defects affect final retention and final certificate.,Employer,Respond to defect notices promptly.,Unremedied defects may be deducted or completed by others.,Defects can delay final release.,"Maintain defect register, response dates, repair records, and Engineer acceptance."
Measurement and evaluation,Clause 12,Works are measured and evaluated under contract rules.,Approved inspection is not always approved payment quantity. Measurement evidence must match BOQ rules.,Shared,Submit measurements promptly and resolve disagreements.,Direct basis for IPC and final account.,Quantity disputes can delay certification.,"Keep joint measurements, sketches, survey data, and signed quantity sheets."
Right to vary,Clause 13.1,Employer/Engineer may instruct variations within the contractual mechanism.,"Contractor generally must proceed with instructed variation and argue valuation/time through the procedure, not refuse execution.",Employer,Reservation and proposal must follow Clause 13.3/20.1.,Potential payment if instructed and valued.,Possible EOT if variation delays critical path.,"Get written instruction, submit proposal, maintain records, and update programme."
Variation procedure,Clause 13.3,"Variations require notice/proposal procedure, including time and cost impact.",A variation without a timely proposal and monthly claim account may become hard to recover later.,Shared,Very important: submit notice/proposal within required period and include monthly account.,Preserves extra payment.,Preserves EOT if critical.,"Use a variation register with instruction date, notice date, proposal date, status, and monthly update."
Batching plant duties,General Requirements,Contractor duties under Employer-ready mix supplier/batch plant arrangement are treated as Variation under Clause 13.,"This is a useful entitlement hook: if duties arise from Employer's batching plant arrangement, process them as variation, not informal cooperation.",Contractor if documented,Clause 13 notice/proposal required.,Potential extra payment.,Possible time if duties affect critical path.,"Record instruction, duties performed, resources, location impacts, and cost/time proposal."
Tax and VAT,Agreement / Clause 14.16 / 14.17,Accepted amount excludes VAT but includes other duties/taxes as stated.,Do not mix VAT entitlement with general tax escalation. VAT treatment must follow invoicing and law.,Shared,Tax documents must support IPC/final account.,VAT may be separate; other taxes likely included.,No direct schedule effect.,"Keep tax invoices, VAT calculations, withholding records, and contract tax basis."
Termination by Employer,Clause 15.2 / 15.5,Employer has termination rights for serious Contractor default and may recover consequences.,"Repeated noncompliance, delay, missing security/insurance, or abandonment can escalate beyond letters into termination risk.",Employer,Default notices and cure periods must be tracked.,High financial exposure including security and completion costs.,Works may be removed from Contractor.,Maintain compliance matrix and respond formally to all default notices.
Contractor suspension or termination,Clause 16,Contractor may suspend or terminate only under strict contractual grounds.,Suspending work without satisfying clause conditions can backfire as Contractor default.,Employer unless strict compliance,Strict notices required before suspension/termination.,Potential protection if Employer seriously fails payment/obligation.,Improper suspension creates delay damages risk.,"Before stopping work, verify notices, due dates, unpaid certified amounts, and legal advice."
Indemnities,Clause 17.1,"Parties indemnify against defined losses, but Contractor carries broad responsibility for works, personnel, and damage caused by its operations.","Damage events should be managed as liability matters, not only construction issues.",Employer for Contractor-caused damage,Notify incidents immediately.,Potential uninsured or deductibles exposure.,Repairs can delay works without EOT if Contractor fault.,"Keep incident reports, photos, witness statements, insurance notices, and repair records."
Insurance,Clause 18.1,"Contractor must provide evidence before start, policies within 28 days, maintain cover, include Employer protections, and use approved insurers.","No insurance equals major noncompliance. Employer may insure and deduct, and uninsured losses can stay with Contractor.",Employer,Evidence before start; policies within 28 days of commencement.,High uninsured/deduction risk.,Equipment/site access may be restricted.,"Keep policy schedule, endorsements, renewal proof, premium receipts, and Employer approval."
Force majeure,Clause 19.1 / 19.4,Force majeure is narrowly defined and its consequence is EOT only because cost recovery is deleted.,Even a true force majeure event may not produce money. It mainly protects against delay damages through EOT.,"Employer on cost, Contractor on time if proven",Notice required under force majeure and claim clauses.,No cost recovery under amended clause.,Possible EOT only.,"Keep event evidence, impossibility/impact records, mitigation, and critical path delay analysis."
Claims time bar,Clause 20.1,Failure to comply with claim notice requirements is an irrevocable waiver and release of Employer/Engineer from claims.,This is one of the strongest clauses. A good claim can die if the notice procedure is missed.,Employer,"Strict notice, particulars, and monthly claim account.",Missed notice can erase payment claim.,Missed notice can erase EOT claim.,Maintain a live claims register and send protective notices early.
Monthly claim and variation account,Clause 20.1,Contractor must submit a separate monthly account of all claims and variations; claims not included may not be considered.,"A notice alone is not enough. Every month, live claims must be repeated and updated.",Employer,Monthly account required for all claims/variations.,Omitted items risk being rejected later.,Omitted delay events risk weaker EOT.,"Use monthly claim account with status, amount, time, evidence, and updated particulars."
Concurrent delay rule,Clause 20.1,"For concurrent delays, Contractor may get EOT but no cost for the concurrent period if compliant.",This protects against delay damages but blocks prolongation cost where Contractor and Employer delays overlap.,"Employer on money, Contractor on time",Notice still required.,No cost during concurrent period.,Possible EOT only.,"Delay analysis must separate Employer delay, Contractor delay, and concurrent periods."
Engineer decision before dispute,Clause 20.2,"Disputes first go to Engineer, who decides within 42 days; parties must comply unless revised later.",The Engineer decision is the gate before final dispute. Missing the dissatisfaction deadline can make it final.,Employer/Engineer,Notice of dissatisfaction within 28 days if disagreeing.,Decision affects valuation/payment rights.,Decision affects EOT/delay damages position.,"Track referral date, decision due date, decision date, and dissatisfaction deadline."
No DAB and court route,Clauses 20.3 to 20.8,"DAB and arbitration are deleted; disputes proceed through Engineer decision, amicable/mediation route, then court.",Disputes may be slower and more document-heavy. Project records become even more important.,Neutral,Follow Engineer decision and dissatisfaction steps before court.,Recovery may take longer.,Dispute process does not excuse slow progress unless contract allows.,Preserve full contemporaneous records and avoid relying on informal promises.
Prequalification of steel suppliers,General Requirements,At least 3 reinforcement steel suppliers must be prequalified one month before procurement per programme.,Steel delay cannot be blamed only on market supply if supplier prequalification was late or weak.,Employer,Submit supplier prequalification before procurement date.,Late supplier approval can delay payment/procurement.,Can become Contractor delay to reinforcement works.,"Keep supplier list, submissions, approvals, procurement dates, and delivery commitments."
Prequalification of concrete suppliers,General Requirements,At least 5 concrete suppliers and 3 backup ready-mix factories must be prequalified one month before procurement.,The Contractor must have backup supply capacity. Concrete supply failure may be treated as Contractor planning risk.,Employer,Submit prequalification before procurement date.,Extra cost for alternative supply may be Contractor risk.,Concrete shortage can delay structure without EOT if Contractor fault.,"Keep supplier approvals, plant capacity, backup arrangements, and delivery records."
Revit and CAD deliverables,General Requirements,Structural modeling must use Revit source files; other engineering is AutoCAD ASD unless stated.,"Deliverable format is a contract requirement, not a preference. Wrong format can delay approvals and close-out.",Employer,Submit in required format and revision controls.,Rework of deliverables likely Contractor cost.,Wrong format can delay design review/as-builts/TOC.,"Maintain source files, model issue log, drawing register, and transmittals."
